Date,From time,To time,Name,Latitude,Longitude,Condition
19/12/2019,20:00,23:30,Tuaspring ,1.301691,103.623691,Details of condition - [Hidden]
19/12/2019,22:30,23:30,Tuaspring ,1.301691,103.623691,Details of condition - [Hidden]
20/12/2019,0:00,23:30,Singapore Refining Company ,1.290862,103.712448,Details of condition - [Hidden]
20/12/2019,0:00,23:30,TuasOne ,1.308372,103.631444,Details of condition - [Hidden]
20/12/2019,0:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Details of condition - [Hidden]
20/12/2019,0:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Details of condition - [Hidden]
20/12/2019,0:00,23:30,Senoko Energy ,1.464911,103.798805,Details of condition - [Hidden]
21/12/2019,0:00,23:30,Senoko Energy ,1.464911,103.798805,Details of condition - [Hidden]
21/12/2019,0:00,23:30,TP Utilities ,1.266428,103.672143,Details of condition - [Hidden]
21/12/2019,0:00,23:30,TuasOne ,1.308372,103.631444,Details of condition - [Hidden]
21/12/2019,0:00,23:30,Tuas Power Generation ,1.287521,103.640834,Details of condition - [Hidden]
21/12/2019,0:00,23:30,Senoko Energy ,1.464911,103.798805,Details of condition - [Hidden]
22/12/2019,0:00,23:30,YTL PowerSeraya ,1.280212,103.719584,Details of condition - [Hidden]
22/12/2019,0:00,17:00,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Details of condition - [Hidden]
22/12/2019,0:00,0:30,YTL PowerSeraya ,1.280212,103.719584,Details of condition - [Hidden]
22/12/2019,0:00,23:30,Senoko Energy ,1.464911,103.798805,Details of condition - [Hidden]
22/12/2019,0:00,23:30,ExxonMobil Asia Pacific ,1.26834,103.693372,Details of condition - [Hidden]
22/12/2019,0:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Details of condition - [Hidden]
22/12/2019,6:00,6:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Details of condition - [Hidden]
22/12/2019,14:30,15:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Details of condition - [Hidden]
22/12/2019,14:30,15:30,ExxonMobil Asia Pacific ,1.26834,103.693372,Details of condition - [Hidden]
22/12/2019,14:30,15:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Details of condition - [Hidden]
22/12/2019,14:30,15:30,TuasOne ,1.308372,103.631444,Details of condition - [Hidden]
23/12/2019,0:00,23:30,Senoko Energy ,1.464911,103.798805,Details of condition - [Hidden]
23/12/2019,0:00,23:30,Senoko Energy ,1.464911,103.798805,Details of condition - [Hidden]
23/12/2019,0:00,23:30,ExxonMobil Asia Pacific ,1.26834,103.693372,Details of condition - [Hidden]
23/12/2019,0:00,23:30,ExxonMobil Asia Pacific ,1.26834,103.693372,Details of condition - [Hidden]
23/12/2019,10:30,11:00,ExxonMobil Asia Pacific ,1.26834,103.693372,Details of condition - [Hidden]
24/12/2019,0:00,23:30,ExxonMobil Asia Pacific ,1.26834,103.693372,Details of condition - [Hidden]
24/12/2019,0:00,23:30,TuasOne ,1.308372,103.631444,Details of condition - [Hidden]
24/12/2019,0:00,23:30,TuasOne ,1.308372,103.631444,Details of condition - [Hidden]
24/12/2019,0:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Details of condition - [Hidden]
25/12/2019,0:00,23:30,ExxonMobil Asia Pacific ,1.26834,103.693372,Details of condition - [Hidden]
25/12/2019,0:00,23:30,PacificLight Power ,1.286848,103.722708,Details of condition - [Hidden]
25/12/2019,0:00,23:30,Keppel Merlimau Cogen ,1.282498,103.675245,Details of condition - [Hidden]
25/12/2019,0:00,23:30,Keppel Merlimau Cogen ,1.282498,103.675245,Details of condition - [Hidden]
26/12/2019,0:00,23:30,Tuas Power Generation ,1.287521,103.640834,Details of condition - [Hidden]
26/12/2019,0:00,23:30,Shell Eastern Petroleum ,1.228974,103.767913,Details of condition - [Hidden]
26/12/2019,0:00,23:30,Senoko Waste-To-Energy ,1.265026,103.818275,Details of condition - [Hidden]
26/12/2019,0:00,23:30,Senoko Waste-To-Energy ,1.265026,103.818275,Details of condition - [Hidden]
26/12/2019,14:30,15:00,ExxonMobil Asia Pacific ,1.26834,103.693372,Details of condition - [Hidden]
26/12/2019,17:00,18:00,SembCorp Cogen ,1.256499,103.701611,Details of condition - [Hidden]
26/12/2019,17:00,18:00,SembCorp Cogen ,1.256499,103.701611,Details of condition - [Hidden]
26/12/2019,18:30,20:00,Tuaspring ,1.301691,103.623691,Details of condition - [Hidden]
26/12/2019,18:30,20:00,Tuaspring ,1.301691,103.623691,Details of condition - [Hidden]
27/12/2019,0:00,23:30,Singapore Refining Company ,1.290862,103.712448,Details of condition - [Hidden]
27/12/2019,0:00,23:30,TuasOne ,1.308372,103.631444,Details of condition - [Hidden]
27/12/2019,0:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Details of condition - [Hidden]
27/12/2019,0:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Details of condition - [Hidden]
27/12/2019,17:00,18:00,Senoko Energy ,1.464911,103.798805,Details of condition - [Hidden]
27/12/2019,17:00,18:00,Senoko Energy ,1.464911,103.798805,Details of condition - [Hidden]
27/12/2019,20:30,21:00,TP Utilities ,1.266428,103.672143,Details of condition - [Hidden]
27/12/2019,20:30,21:00,TuasOne ,1.308372,103.631444,Details of condition - [Hidden]
27/12/2019,20:30,22:00,Tuas Power Generation ,1.287521,103.640834,Details of condition - [Hidden]
28/12/2019,0:00,23:30,Senoko Energy ,1.464911,103.798805,Details of condition - [Hidden]
28/12/2019,0:00,23:30,YTL PowerSeraya ,1.280212,103.719584,Details of condition - [Hidden]
28/12/2019,0:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Details of condition - [Hidden]
28/12/2019,0:00,23:30,YTL PowerSeraya ,1.280212,103.719584,Details of condition - [Hidden]
29/12/2019,0:00,23:30,Senoko Energy ,1.464911,103.798805,Details of condition - [Hidden]
29/12/2019,0:00,23:30,ExxonMobil Asia Pacific ,1.26834,103.693372,Details of condition - [Hidden]
29/12/2019,0:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Details of condition - [Hidden]
29/12/2019,0:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Details of condition - [Hidden]
30/12/2019,0:00,23:00,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Details of condition - [Hidden]
30/12/2019,0:00,23:30,ExxonMobil Asia Pacific ,1.26834,103.693372,Details of condition - [Hidden]
30/12/2019,0:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Details of condition - [Hidden]
30/12/2019,0:00,23:00,TuasOne ,1.308372,103.631444,Details of condition - [Hidden]
30/12/2019,0:00,23:30,Senoko Energy ,1.464911,103.798805,Details of condition - [Hidden]
31/12/2019,0:00,23:30,Senoko Energy ,1.464911,103.798805,Details of condition - [Hidden]
31/12/2019,0:00,23:30,ExxonMobil Asia Pacific ,1.26834,103.693372,Details of condition - [Hidden]
31/12/2019,0:00,23:30,Keppel Seghers Tuas Waste-to-Energy,1.297881,103.621398,Details of condition - [Hidden]
